customer_id,meter_id,time_rounded,energy_heat_kwh,volume_flow_m3,inlet_flow_energy_m3xC,back_flow_energy_m3xC
772,660,2019-04-11T01:00:00Z,30772.873015873,741.846825396826,52440.8095238095,25298.9365079365
772,660,2019-04-11T02:00:00Z,30776.7333333333,741.924666666667,52446.6,25301.8
772,660,2019-04-11T03:00:00Z,30778.9649122807,741.979122807018,52449.9473684211,25303.9649122807
772,660,2019-04-11T04:00:00Z,30782.9333333333,742.058666666667,52455.9,25305.9666666667
772,660,2019-04-11T05:00:00Z,30784.873015873,742.116190476191,52459.746031746,25307.873015873
772,660,2019-04-11T06:00:00Z,30789.9122807018,742.208421052632,52466.8771929825,25310.9473684211
772,660,2019-04-11T07:00:00Z,30792.9016393443,742.277704918033,52471.8360655738,25312.9344262295
772,660,2019-04-11T08:00:00Z,30798.6486486487,742.407837837838,52481.1351351351,25317.6486486487
772,660,2019-04-11T09:00:00Z,30801.8918918919,742.497027027027,52486.8108108108,25320.8918918919
772,660,2019-04-11T10:00:00Z,30803.9661016949,742.568813559322,52491.9152542373,25323.9491525424
772,660,2019-04-11T11:00:00Z,30808.6825396825,742.663650793651,52499.4920634921,25326.8095238095
772,660,2019-04-11T12:00:00Z,30810.8360655738,742.715901639344,52502.7540983607,25328.8360655738
772,660,2019-04-11T13:00:00Z,30812.8101265823,742.768227848101,52506.417721519,25330.6075949367
772,660,2019-04-11T14:00:00Z,30815.8481012658,742.836582278481,52511.7341772152,25332.8860759494
772,660,2019-04-11T15:00:00Z,30819.737704918,742.933442622951,52517.6065573771,25334.868852459
772,660,2019-04-11T16:00:00Z,30821.7123287671,742.97602739726,52521.0684931507,25336.5342465753
772,660,2019-04-11T17:00:00Z,30825,743.05,52526,25339
772,660,2019-04-11T18:00:00Z,30825.9375,743.078125,52527.875,25339.9375
772,660,2019-04-11T19:00:00Z,30827.8666666667,743.136,52531.7333333333,25341.8666666667
772,660,2019-04-11T20:00:00Z,30833.2289156627,743.259156626506,52540.686746988,25346.2289156627
